Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Palm_tip_x,Thumb_tip_x,Index_tip_x,Middle_tip_x,Ring_tip_x,Pinky_tip_x,Palm_tip_y,Thumb_tip_y,Index_tip_y,Middle_tip_y,Ring_tip_y,Pinky_tip_y,Palm_tip_z,Thumb_tip_z,Index_tip_z,Middle_tip_z,Ring_tip_z,Pinky_tip_z
26,40,133,96,39,53,72,31,28,115,93,76,48,31,23,24,-18.180192947387695,32.508033752441406,28.386703491210938,9.34802532196045,-12.603860855102539,-34.303157806396484,30.557247161865234,-2.168248414993286,-47.88898849487305,-58.11241912841797,-56.00969314575195,-40.72585678100586,144.15585327148438,116.99925994873047,131.463623046875,118.00971984863281,115.59166717529297,115.14513397216797
25,35,123,82,33,62,73,31,26,114,89,84,49,29,24,23,-18.524646759033203,31.355375289916992,27.745941162109375,8.576336860656738,-13.461559295654297,-35.07012939453125,30.235544204711914,-2.677163600921631,-48.26974868774414,-58.42734146118164,-56.37575149536133,-41.00740051269531,144.2130889892578,115.98225402832031,131.18856811523438,117.84484100341797,115.71076202392578,115.33423614501953
25,34,116,80,36,57,73,31,24,118,88,83,45,25,23,24,-18.727863311767578,30.230754852294922,27.362966537475586,8.090520858764648,-14.02397346496582,-35.57524108886719,29.974733352661133,-3.021845579147339,-48.498985290527344,-58.633872985839844,-56.634185791015625,-41.20492935180664,144.2433624267578,114.8750228881836,130.8214569091797,117.62476348876953,115.69635009765625,115.36487579345703
25,31,95,73,35,55,69,29,26,117,70,80,52,24,20,21,-18.867685317993164,29.19894790649414,27.037694931030273,7.6498188972473145,-14.555642127990723,-36.04032516479492,29.7100830078125,-3.340536594390869,-48.71384811401367,-58.79941177368164,-56.8514518737793,-41.342464447021484,144.22755432128906,113.62506866455078,130.32901000976562,117.24991607666016,115.52981567382812,115.22003936767578
25,29,83,81,41,56,66,29,30,115,72,91,61,28,20,22,-18.989334106445312,28.232040405273438,26.710046768188477,7.170250415802002,-15.140087127685547,-36.580448150634766,29.367815017700195,-3.741612434387207,-48.97303009033203,-59.00045394897461,-57.13808822631836,-41.56495666503906,144.14767456054688,112.19943237304688,129.6010284423828,116.6767349243164,115.2572250366211,115.05098724365234
25,31,77,96,49,53,58,27,30,129,76,88,62,34,18,20,-19.171401977539062,27.008798599243164,26.373191833496094,6.568369388580322,-15.885520935058594,-37.35500717163086,28.745132446289062,-4.221073150634766,-49.40929412841797,-59.435821533203125,-57.623382568359375,-42.03693389892578,143.872314453125,109.74372100830078,128.32220458984375,115.7074203491211,114.59825897216797,114.61255645751953
25,29,82,107,50,39,48,26,35,144,82,74,59,34,18,21,-19.242259979248047,26.36846351623535,26.303028106689453,6.330222129821777,-16.208017349243164,-37.71712875366211,28.368398666381836,-4.297632217407227,-49.63233184814453,-59.67252731323242,-57.911827087402344,-42.29631423950195,143.68177795410156,107.76171112060547,127.52919006347656,115.0801010131836,114.15802764892578,114.20452880859375
25,34,79,106,50,44,42,27,37,153,83,71,59,34,19,21,-19.27495574951172,26.26095962524414,26.334115982055664,6.214956760406494,-16.40614128112793,-37.95242691040039,28.064233779907227,-4.289520263671875,-49.77861022949219,-59.839271545410156,-58.12871170043945,-42.45775604248047,143.47177124023438,106.2769546508789,126.84607696533203,114.50765991210938,113.70886993408203,113.68209075927734
26,36,80,111,53,47,45,26,39,156,103,79,57,34,19,22,-19.254859924316406,27.23678970336914,26.47650909423828,6.189407825469971,-16.523313522338867,-38.15157699584961,27.661592483520508,-4.143398761749268,-49.98231887817383,-60.08970642089844,-58.389156341552734,-42.68959045410156,142.9881591796875,104.5417251586914,125.79100036621094,113.59713745117188,112.8460922241211,112.7817611694336
25,43,120,121,54,48,49,25,37,146,112,86,57,38,19,23,-19.141698837280273,28.7974853515625,26.657039642333984,6.252140522003174,-16.516963958740234,-38.2215690612793,27.496299743652344,-3.7300286293029785,-50.02989196777344,-60.173583984375,-58.484413146972656,-42.776119232177734,142.4933319091797,103.61980438232422,124.88866424560547,112.8028793334961,112.11346435546875,112.07215881347656
26,44,139,113,51,53,52,27,37,142,115,93,57,33,20,23,-18.894676208496094,30.829381942749023,27.06781768798828,6.340808391571045,-16.39801597595215,-38.15674591064453,27.336917877197266,-2.995042085647583,-50.038753509521484,-60.29751205444336,-58.52397918701172,-42.83180236816406,141.76271057128906,102.64302062988281,123.56510925292969,111.65055847167969,110.93385314941406,111.03463745117188
26,49,145,105,49,51,49,28,35,136,117,99,61,37,21,27,-18.612789154052734,34.60779571533203,27.712257385253906,6.4361748695373535,-16.288103103637695,-38.01975631713867,27.235504150390625,-1.2982686758041382,-50.155303955078125,-60.509029388427734,-58.562469482421875,-42.867088317871094,140.69989013671875,101.92095184326172,122.2378921508789,110.25035858154297,109.35165405273438,109.615234375
28,52,191,136,53,50,53,26,37,132,141,104,60,37,23,28,-18.55031394958496,35.970794677734375,27.860754013061523,6.433012962341309,-16.25806427001953,-37.98289108276367,27.19820213317871,-0.6402544379234314,-50.27866744995117,-60.636837005615234,-58.574337005615234,-42.876930236816406,140.46701049804688,101.98037719726562,122.07718658447266,109.9997787475586,108.93839263916016,109.2327880859375
27,61,224,138,52,51,50,26,35,142,139,96,57,37,23,28,-18.40513038635254,39.89598846435547,28.388124465942383,6.467857837677002,-16.061349868774414,-37.530296325683594,26.952465057373047,1.4273055791854858,-50.629798889160156,-61.394771575927734,-58.720577239990234,-42.8161735534668,139.69676208496094,102.41828155517578,121.41179656982422,109.55037689208984,107.44902801513672,107.47779083251953
28,62,211,126,46,63,55,27,36,143,140,94,57,35,27,27,-18.328258514404297,44.060211181640625,28.42289924621582,6.329492092132568,-16.29324722290039,-37.61341857910156,26.7434024810791,3.5603344440460205,-51.33673095703125,-61.974143981933594,-59.083309173583984,-42.94820785522461,139.59375,104.17127227783203,122.00717163085938,109.6717300415039,107.33778381347656,107.03097534179688
29,64,211,125,46,61,51,27,37,130,136,90,61,37,28,27,-18.301668167114258,45.16825485229492,28.423992156982422,6.2904510498046875,-16.350378036499023,-37.692020416259766,26.651046752929688,4.098455429077148,-51.503910064697266,-62.11574935913086,-59.17137908935547,-43.00043869018555,139.62303161621094,104.79792022705078,122.07142639160156,109.65338134765625,107.26419067382812,106.92559814453125
30,61,214,126,48,63,56,28,35,143,129,88,57,32,27,24,-18.26531219482422,48.05728530883789,28.31084632873535,6.090761184692383,-16.591144561767578,-37.95793151855469,26.310033798217773,5.273377895355225,-51.95120620727539,-62.55441665649414,-59.43441390991211,-43.1076545715332,139.93011474609375,107.25731658935547,122.25851440429688,109.74703216552734,107.12750244140625,106.6062240600586
28,58,178,93,43,61,52,26,34,137,139,83,56,31,25,22,-18.293636322021484,50.62910461425781,27.915586471557617,5.858949661254883,-16.867990493774414,-38.30397415161133,26.00589942932129,5.767595291137695,-52.56947708129883,-62.908355712890625,-59.64333724975586,-43.20140075683594,140.49974060058594,111.1551513671875,123.26386260986328,110.24372863769531,107.289794921875,106.54642486572266
31,51,152,82,42,61,54,25,35,119,129,108,67,32,26,22,-18.306568145751953,51.31529998779297,27.753538131713867,5.756738662719727,-16.960514068603516,-38.38029861450195,25.943504333496094,5.769852638244629,-52.7518424987793,-63.04066848754883,-59.70515060424805,-43.212852478027344,140.65562438964844,112.5550537109375,123.6512680053711,110.52178955078125,107.41651916503906,106.56633758544922
29,48,157,77,41,47,47,27,37,121,117,111,54,26,22,21,-18.45375633239746,52.91753005981445,27.096153259277344,5.2876434326171875,-17.337045669555664,-38.71360778808594,25.704790115356445,5.436047554016113,-53.379150390625,-63.52713394165039,-59.94715118408203,-43.32597732543945,141.2211151123047,117.50230407714844,124.96516418457031,111.52423858642578,107.93358612060547,106.7765121459961
28,48,142,77,37,46,52,24,34,126,114,112,53,23,22,22,-18.687490463256836,53.485591888427734,26.27977180480957,4.601743698120117,-17.919206619262695,-39.095706939697266,25.47688865661621,4.4593505859375,-53.99001693725586,-64.04020690917969,-60.22344970703125,-43.379390716552734,141.8716583251953,122.25477600097656,126.28758239746094,112.63138580322266,108.64546966552734,107.08902740478516
26,49,131,70,38,52,58,25,35,100,123,109,56,23,23,20,-18.786819458007812,53.396270751953125,25.991825103759766,4.3660664558410645,-18.121362686157227,-39.231895446777344,25.414363861083984,3.9698328971862793,-54.17814636230469,-64.18783569335938,-60.308685302734375,-43.39356231689453,142.09031677246094,123.76024627685547,126.74823760986328,113.00890350341797,108.91803741455078,107.22032928466797
25,49,126,75,36,50,65,28,32,99,81,111,59,26,24,20,-19.16715431213379,52.186058044433594,25.00765609741211,3.47930908203125,-18.959699630737305,-39.843502044677734,25.24178123474121,1.9932739734649658,-54.690189361572266,-64.66031646728516,-60.63702392578125,-43.509830474853516,142.7862548828125,128.16481018066406,128.14590454101562,114.31389617919922,110.02729034423828,107.91739654541016
24,48,115,96,35,49,69,31,32,92,79,91,55,29,24,20,-19.452682495117188,50.632164001464844,24.240798950195312,2.8148555755615234,-19.66106414794922,-40.376243591308594,25.13883399963379,0.27213263511657715,-55.01466369628906,-64.90079498291016,-60.86021423339844,-43.58838653564453,143.3507080078125,131.05735778808594,129.14195251464844,115.21436309814453,110.94239044189453,108.58079528808594
24,44,97,96,37,49,70,30,30,79,84,79,61,30,24,20,-19.756153106689453,48.5441780090332,23.49489974975586,2.169525146484375,-20.35394287109375,-40.968326568603516,25.078330993652344,-1.5868083238601685,-55.243465423583984,-65.0788803100586,-61.02593994140625,-43.678810119628906,143.8574676513672,133.54229736328125,130.00489807128906,116.07542419433594,111.83763885498047,109.32429504394531
23,37,103,107,37,50,70,31,32,70,83,75,60,29,24,19,-20.15376853942871,44.674049377441406,22.593570709228516,1.4221121072769165,-21.133806228637695,-41.760780334472656,25.047182083129883,-4.332760334014893,-55.51887893676758,-65.22996520996094,-61.145076751708984,-43.83892822265625,144.4055633544922,135.77084350585938,131.06903076171875,117.08197021484375,112.88678741455078,110.40130615234375
23,37,93,109,39,45,66,31,32,61,80,78,58,30,24,20,-20.430801391601562,41.69491958618164,22.026653289794922,0.9762453436851501,-21.540454864501953,-42.227760314941406,25.07172203063965,-6.044531345367432,-55.699684143066406,-65.29690551757812,-61.12763214111328,-43.926273345947266,144.7021942138672,136.21109008789062,131.81045532226562,117.72591400146484,113.45708465576172,111.1176986694336
25,35,98,106,40,51,66,29,34,51,74,77,57,30,22,22,-20.705455780029297,36.84584045410156,21.358196258544922,0.5052284598350525,-21.93084716796875,-42.74324417114258,25.088071823120117,-8.492349624633789,-55.97157287597656,-65.3525390625,-61.05815124511719,-44.027523040771484,145.0172576904297,135.0162353515625,132.6362762451172,118.38518524169922,114.03974914550781,111.98494720458984
23,38,105,85,41,57,70,29,34,48,81,84,53,31,23,23,-20.836732864379883,33.125755310058594,21.041746139526367,0.2751011252403259,-22.090679168701172,-42.91986846923828,25.085662841796875,-10.069366455078125,-56.1064567565918,-65.39232635498047,-61.02394104003906,-44.04886245727539,145.1618194580078,133.0349578857422,132.96273803710938,118.70144653320312,114.3383560180664,112.39885711669922
24,41,129,88,43,59,72,28,32,54,78,75,49,32,22,22,-20.9490909576416,28.329980850219727,20.80388832092285,0.05859252065420151,-22.206335067749023,-43.063629150390625,25.074079513549805,-11.556422233581543,-56.212650299072266,-65.45099639892578,-60.99855422973633,-44.07459259033203,145.28260803222656,129.6823272705078,133.16921997070312,118.99890899658203,114.62329864501953,112.79113006591797
25,41,131,81,47,59,70,27,29,54,78,76,49,35,21,23,-21.05381202697754,21.91817855834961,20.583112716674805,-0.08163043856620789,-22.357379913330078,-43.20236587524414,25.072322845458984,-12.734453201293945,-56.30019760131836,-65.45064544677734,-61.01261520385742,-44.09174728393555,145.4290771484375,124.92788696289062,133.3815155029297,119.29501342773438,115.04572296142578,113.24767303466797
24,39,136,80,45,57,69,24,28,54,69,73,48,35,20,22,-21.105270385742188,18.241971969604492,20.4925537109375,-0.1083378866314888,-22.39761734008789,-43.29846954345703,25.068910598754883,-12.93815803527832,-56.33462142944336,-65.41700744628906,-61.00027847290039,-44.1239128112793,145.513916015625,122.11813354492188,133.4723663330078,119.40926361083984,115.24195098876953,113.53389739990234
25,41,143,81,46,53,64,25,26,57,77,73,50,34,20,22,-21.142492294311523,15.425060272216797,20.474172592163086,-0.08668676763772964,-22.37851905822754,-43.35273742675781,25.074785232543945,-12.899362564086914,-56.319374084472656,-65.36150360107422,-60.94784164428711,-44.142417907714844,145.5812530517578,119.92872619628906,133.5009002685547,119.4654312133789,115.34199523925781,113.7551498413086
24,35,134,88,47,45,62,24,25,64,86,70,50,32,20,22,-21.159881591796875,12.157363891601562,20.51535987854004,0.05488591268658638,-22.265771865844727,-43.23319625854492,25.0864315032959,-12.503702163696289,-56.281856536865234,-65.21475219726562,-60.827980041503906,-44.02161407470703,145.629150390625,117.21817779541016,133.48678588867188,119.3971176147461,115.3108901977539,113.7071533203125
25,41,130,82,47,45,58,24,25,64,86,88,51,30,21,22,-21.155967712402344,11.165761947631836,20.569629669189453,0.20437468588352203,-22.133092880249023,-43.09163284301758,25.089710235595703,-12.30640983581543,-56.25477981567383,-65.08757019042969,-60.71168899536133,-43.889869689941406,145.63294982910156,116.12743377685547,133.45571899414062,119.26679229736328,115.16741943359375,113.48612213134766
25,41,136,76,43,46,60,25,26,76,96,90,48,32,25,23,-21.106517791748047,8.798245429992676,20.817941665649414,0.12395849078893661,-22.092269897460938,-43.277435302734375,24.925743103027344,-12.3138427734375,-56.319129943847656,-65.39388275146484,-60.92734909057617,-44.33144760131836,145.13299560546875,113.58626556396484,132.78945922851562,119.27605438232422,115.3782730102539,114.12606811523438
26,41,140,79,42,47,56,24,25,79,110,91,50,30,25,22,-20.737537384033203,8.326030731201172,21.35262107849121,0.4871288239955902,-21.67642593383789,-42.830081939697266,24.700925827026367,-12.551078796386719,-56.49665069580078,-65.65251922607422,-61.06867218017578,-44.39578628540039,144.74490356445312,112.15460205078125,132.4149932861328,119.23311614990234,115.33343505859375,113.9227066040039
24,40,134,82,40,45,57,22,28,80,116,94,55,33,29,20,-20.605411529541016,8.308146476745605,21.55169105529785,0.6393013000488281,-21.538999557495117,-42.68967819213867,24.672733306884766,-12.497742652893066,-56.498252868652344,-65.6714859008789,-61.09012985229492,-44.3990364074707,144.64559936523438,111.62017822265625,132.3126983642578,119.19837951660156,115.33329772949219,113.89225769042969
23,41,137,88,39,46,48,23,27,76,110,105,53,33,27,21,-18.687585830688477,16.328861236572266,25.210655212402344,8.868621826171875,-14.466163635253906,-37.685638427734375,12.998974800109863,-22.613693237304688,-53.671504974365234,-63.05146026611328,-66.80274200439453,-53.16325759887695,142.15489196777344,107.31278228759766,120.73705291748047,109.99288940429688,109.70378875732422,108.48689270019531
25,41,139,85,36,44,46,22,28,82,117,97,49,33,27,22,-17.599220275878906,16.45657730102539,24.70094108581543,9.537351608276367,-11.478941917419434,-33.801231384277344,8.291694641113281,-28.456954956054688,-52.06216049194336,-60.18141174316406,-61.57428741455078,-48.84939956665039,139.19088745117188,101.11911010742188,111.8270492553711,103.16127014160156,102.23358917236328,102.85354614257812
24,44,130,91,33,40,48,22,36,84,116,96,48,30,26,22,-17.578222274780273,17.739219665527344,24.822376251220703,9.576570510864258,-11.35716724395752,-33.3731575012207,8.269641876220703,-28.16851806640625,-52.05208206176758,-60.21259307861328,-61.163169860839844,-48.2086067199707,139.1502227783203,100.67076873779297,111.88067626953125,103.03595733642578,101.80850219726562,102.45589447021484
23,47,131,91,32,42,51,23,42,102,102,97,48,30,25,21,-17.459293365478516,26.29691505432129,25.293092727661133,9.72437572479248,-11.286608695983887,-33.010440826416016,8.739609718322754,-26.024307250976562,-51.85023880004883,-60.21378707885742,-60.597415924072266,-47.5589599609375,139.0643768310547,101.07797241210938,112.21141052246094,103.14500427246094,101.66546630859375,102.3757553100586
27,48,143,102,37,52,58,29,42,112,110,92,39,29,22,22,-17.19403076171875,36.45149230957031,26.48426628112793,9.870673179626465,-11.267985343933105,-32.61210632324219,10.033238410949707,-22.035076141357422,-51.69565963745117,-60.552093505859375,-59.71706771850586,-46.4066276550293,139.24774169921875,103.62329864501953,113.17311096191406,103.85332489013672,101.89852905273438,102.64702606201172
