Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Palm_tip_x,Thumb_tip_x,Index_tip_x,Middle_tip_x,Ring_tip_x,Pinky_tip_x,Palm_tip_y,Thumb_tip_y,Index_tip_y,Middle_tip_y,Ring_tip_y,Pinky_tip_y,Palm_tip_z,Thumb_tip_z,Index_tip_z,Middle_tip_z,Ring_tip_z,Pinky_tip_z
38,88,252,257,81,50,59,23,41,147,199,226,111,48,23,22,-27.575218200683594,24.130796432495117,19.665132522583008,-1.0172282457351685,-22.284530639648438,-43.892311096191406,30.53190040588379,4.7538018226623535,-43.38669967651367,-53.972740173339844,-50.243446350097656,-36.3205680847168,137.0891876220703,105.13433074951172,129.9643096923828,115.44667053222656,108.8592529296875,107.25276184082031
37,97,243,260,86,53,55,26,40,184,201,226,111,48,22,20,-26.713153839111328,25.038623809814453,20.54245376586914,-0.4044240117073059,-22.028226852416992,-43.63006591796875,31.13152503967285,5.760384559631348,-42.72167205810547,-53.370323181152344,-50.110477447509766,-35.94550704956055,136.13671875,103.00984954833984,128.58094787597656,114.4554672241211,108.65447998046875,106.8331069946289
37,102,243,265,90,54,46,25,43,193,192,210,106,49,25,20,-26.23599624633789,25.87160301208496,21.024333953857422,-0.01720370352268219,-21.798786163330078,-43.41969299316406,31.408891677856445,6.334428787231445,-42.44926834106445,-53.134681701660156,-50.11672592163086,-35.815677642822266,135.79086303710938,102.3136215209961,128.30084228515625,114.2725830078125,108.809326171875,106.7350082397461
33,88,223,252,90,54,47,25,41,198,212,165,94,45,28,25,-25.864078521728516,27.114553451538086,21.410921096801758,0.391075998544693,-21.44569969177246,-43.16456985473633,31.606048583984375,6.995382785797119,-42.270389556884766,-52.94745635986328,-50.08694839477539,-35.71052169799805,135.61135864257812,102.18601989746094,128.36148071289062,114.22647094726562,108.88079833984375,106.57432556152344
33,92,219,231,90,57,53,26,43,196,210,151,80,42,31,26,-25.231504440307617,29.433155059814453,21.892513275146484,1.0222563743591309,-20.77132797241211,-42.55077362060547,31.885210037231445,7.884317874908447,-42.12730407714844,-52.70170211791992,-49.903472900390625,-35.41058349609375,135.47378540039062,102.71597290039062,128.7025909423828,114.26958465576172,108.8073501586914,106.1495590209961
35,108,255,228,93,63,55,29,44,214,204,135,90,44,33,29,-24.77779197692871,31.108348846435547,22.188901901245117,1.4302161931991577,-20.29324722290039,-42.06973648071289,32.03126907348633,8.363059043884277,-42.09690856933594,-52.58890151977539,-49.75229263305664,-35.180179595947266,135.52410888671875,103.58599853515625,129.05581665039062,114.43002319335938,108.73443603515625,105.83952331542969
35,115,288,214,87,63,49,28,48,212,203,136,92,47,36,31,-24.210540771484375,33.33729934692383,22.48688507080078,1.913885474205017,-19.727819442749023,-41.47879409790039,32.18126678466797,8.853523254394531,-42.14952850341797,-52.51091384887695,-49.63248825073242,-34.9440803527832,135.61077880859375,105.11624145507812,129.69381713867188,114.74600219726562,108.76617431640625,105.51255798339844
32,120,287,229,82,59,52,29,48,201,204,136,94,46,35,32,-23.682004928588867,35.76121520996094,22.780881881713867,2.460513114929199,-19.12508773803711,-40.83281326293945,32.25350570678711,9.373395919799805,-42.23386764526367,-52.478668212890625,-49.579612731933594,-34.8038330078125,135.8128662109375,107.22325897216797,130.4874267578125,115.17396545410156,108.9006118774414,105.29044342041016
30,119,260,179,78,64,56,27,47,196,161,115,91,44,32,29,-22.920881271362305,39.53033447265625,23.093385696411133,3.1999237537384033,-18.241775512695312,-39.83713912963867,32.27914810180664,10.111135482788086,-42.38979721069336,-52.53418731689453,-49.54993438720703,-34.63762664794922,136.27134704589844,111.51251983642578,131.77320861816406,116.05574035644531,109.22064208984375,105.04254913330078
28,113,250,181,80,65,57,27,45,177,148,128,95,41,29,28,-22.522193908691406,42.02349853515625,23.134374618530273,3.518117666244507,-17.769813537597656,-39.213905334472656,32.28453826904297,10.624518394470215,-42.436283111572266,-52.560848236083984,-49.51335144042969,-34.479576110839844,136.63140869140625,115.3969497680664,132.53799438476562,116.69759368896484,109.47151184082031,104.86292266845703
