Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Thumb_tip_x,Thumb_tip_y,Thumb_tip_z,Index_tip_x,Index_tip_y,Index_tip_z,Middle_tip_x,Middle_tip_y,Middle_tip_z,Ring_tip_x,Ring_tip_y,Ring_tip_z,Pinky_tip_x,Pinky_tip_y,Pinky_tip_z,Palm_tip_x,Palm_tip_y,Palm_tip_z
32,62,52,36,28,24,24,28,-40.293663024902344,-33.5498161315918,-8.034307479858398,15.83501148223877,37.47605514526367,12.285284996032715,-3.5812366008758545,-47.51580810546875,-62.05714797973633,-59.73927688598633,-44.9794807434082,27.886293411254883,148.10816955566406,166.5718231201172,164.11007690429688,159.529052734375,152.3380126953125,170.69776916503906
30,77,55,40,28,23,24,31,-40.455047607421875,-33.56943130493164,-8.009517669677734,15.859329223632812,37.45415496826172,12.158349990844727,-3.3569116592407227,-47.45417022705078,-61.99246597290039,-59.618289947509766,-44.803592681884766,27.99836540222168,148.22662353515625,166.63145446777344,164.1915283203125,159.64431762695312,152.5150604248047,171.02835083007812
30,82,55,40,31,25,23,27,-40.70265197753906,-33.60102844238281,-7.983855724334717,15.884976387023926,37.433197021484375,11.915412902832031,-3.015218734741211,-47.35716247558594,-61.9175910949707,-59.47283935546875,-44.59221649169922,28.30915069580078,148.41224670410156,166.7267608642578,164.279052734375,159.7827911376953,152.72830200195312,171.49041748046875
26,87,50,41,27,26,23,27,-40.85201644897461,-33.62032699584961,-7.975678443908691,15.893707275390625,37.42335510253906,11.765567779541016,-2.810214042663574,-47.3010139465332,-61.882957458496094,-59.40087890625,-44.486427307128906,28.51158332824707,148.5257110595703,166.78236389160156,164.31692504882812,159.85220336914062,152.83555603027344,171.7266082763672
28,85,58,39,27,24,26,31,-40.988739013671875,-33.63930130004883,-7.972272872924805,15.897903442382812,37.41473388671875,11.559839248657227,-2.6243410110473633,-47.249481201171875,-61.85456848144531,-59.34011459350586,-44.39933395385742,28.759193420410156,148.6306610107422,166.83497619628906,164.34664916992188,159.9120635986328,152.9244384765625,171.92904663085938
31,96,60,45,28,25,24,32,-41.173702239990234,-33.669002532958984,-7.972851753234863,15.89716625213623,37.40196228027344,11.254199981689453,-2.375798225402832,-47.17806625366211,-61.818546295166016,-59.2625732421875,-44.29233169555664,29.10382843017578,148.77420043945312,166.9089813232422,164.38319396972656,159.99002075195312,153.03501892089844,172.3025360107422
30,85,59,43,29,26,26,32,-41.28471755981445,-33.690818786621094,-7.9761962890625,15.892783164978027,37.39210891723633,11.0306396484375,-2.2283480167388916,-47.13233947753906,-61.79462814331055,-59.21406555175781,-44.22719192504883,29.321517944335938,148.86122131347656,166.9571533203125,164.4082794189453,160.0411834716797,153.1045684814453,172.57485961914062
30,79,61,43,27,27,28,33,-41.39032745361328,-33.71547317504883,-7.98264217376709,15.884815216064453,37.37961959838867,10.80917739868164,-2.0897555351257324,-47.08607482910156,-61.76779556274414,-59.163780212402344,-44.15986251831055,29.51797866821289,148.94497680664062,167.0071258544922,164.4380340576172,160.0976104736328,153.1797332763672,172.90481567382812
31,74,63,46,31,28,28,34,-41.545204162597656,-33.7577018737793,-7.99947452545166,15.865806579589844,37.354427337646484,10.482333183288574,-1.888443946838379,-47.0126953125,-61.71812057495117,-59.079063415527344,-44.04637145996094,29.907833099365234,149.07154846191406,167.0897674560547,164.49710083007812,160.2005615234375,153.3140411376953,173.52337646484375
33,81,56,45,32,28,25,31,-41.648189544677734,-33.78916931152344,-8.015464782714844,15.848020553588867,37.33290100097656,10.283795356750488,-1.7546395063400269,-46.95999526977539,-61.67739486694336,-59.01470184326172,-43.960296630859375,30.172607421875,149.15994262695312,167.15208435058594,164.54917907714844,160.28436279296875,153.42132568359375,174.0259246826172
31,74,53,40,32,28,25,31,-41.753055572509766,-33.82349395751953,-8.035658836364746,15.825382232666016,37.30719757080078,10.10323429107666,-1.6181899309158325,-46.903831481933594,-61.630184173583984,-58.94350051879883,-43.865360260009766,30.416255950927734,149.2537841796875,167.2208709716797,164.61265563964844,160.3819580078125,153.5446319580078,174.5775909423828
34,74,62,39,31,26,24,31,-41.92290115356445,-33.883304595947266,-8.077468872070312,15.780899047851562,37.25895309448242,9.762561798095703,-1.3976926803588867,-46.80960464477539,-61.54243469238281,-58.820491790771484,-43.7017822265625,30.808855056762695,149.414794921875,167.34304809570312,164.74154663085938,160.56150817871094,153.76846313476562,175.49476623535156
33,72,62,39,31,26,22,31,-42.049137115478516,-33.93162155151367,-8.115187644958496,15.743185997009277,37.21916198730469,9.5678129196167,-1.2345777750015259,-46.737205505371094,-61.470726013183594,-58.72712326049805,-43.577484130859375,31.012189865112305,149.5408172607422,167.4432830810547,164.85556030273438,160.70657348632812,153.94798278808594,176.05227661132812
31,71,59,34,29,26,22,27,-42.18619918823242,-33.98783493041992,-8.162447929382324,15.696882247924805,37.171142578125,9.380483627319336,-1.0574933290481567,-46.655860900878906,-61.38747787475586,-58.623443603515625,-43.43954086303711,31.212968826293945,149.6834716796875,167.56048583984375,164.99468994140625,160.87646484375,154.15640258789062,176.7136993408203
29,62,55,36,30,29,24,30,-42.418678283691406,-34.08743667602539,-8.250937461853027,15.610374450683594,37.08332443237305,8.915984153747559,-0.7572888731956482,-46.51495361328125,-61.238555908203125,-58.443931579589844,-43.201881408691406,31.70206069946289,149.94044494628906,167.77279663085938,165.2534942626953,161.1803436279297,154.5270233154297,177.988525390625
29,52,55,37,28,27,24,29,-42.58951950073242,-34.16410827636719,-8.322807312011719,15.541168212890625,37.01487350463867,8.809882164001465,-0.5365859866142273,-46.40970993041992,-61.125755310058594,-58.313072204589844,-43.0307502746582,31.823444366455078,150.13803100585938,167.93878173828125,165.4610137939453,161.41201782226562,154.80416870117188,178.4571990966797
31,54,44,36,27,29,23,31,-42.76683807373047,-34.249237060546875,-8.405410766601562,15.463119506835938,36.93795394897461,8.677948951721191,-0.3077562153339386,-46.29671096801758,-61.00410842895508,-58.1761589050293,-42.85140609741211,31.93168830871582,150.34930419921875,168.12454223632812,165.69703674316406,161.66542053222656,155.10845947265625,178.93588256835938
32,58,41,36,25,28,25,32,-42.950496673583984,-34.3463134765625,-8.499629974365234,15.373273849487305,36.84951400756836,8.55024242401123,-0.07070289552211761,-46.17308807373047,-60.87337112426758,-58.03171920776367,-42.66210174560547,32.035423278808594,150.5758514404297,168.33924865722656,165.9632568359375,161.94932556152344,155.44583129882812,179.54331970214844
37,59,43,38,26,28,25,32,-43.233333587646484,-34.51290512084961,-8.659372329711914,15.218561172485352,36.69351577758789,8.366639137268066,0.29396629333496094,-45.969810485839844,-60.665489196777344,-57.80367660522461,-42.36199951171875,32.167633056640625,150.9368438720703,168.7100372314453,166.41038513183594,162.42507934570312,156.01641845703125,180.21209716796875
37,61,45,34,25,27,24,32,-43.431209564208984,-34.632930755615234,-8.771696090698242,15.109132766723633,36.57795715332031,7.992382049560547,0.5472445487976074,-45.82794189453125,-60.522396087646484,-57.64519119262695,-42.14544677734375,32.41123962402344,151.19976806640625,168.9774932861328,166.72503662109375,162.76243591308594,156.44444274902344,181.34996032714844
38,56,48,36,27,27,24,33,-43.636756896972656,-34.75757598876953,-8.885258674621582,14.997611999511719,36.45786666870117,7.828322887420654,0.8080322742462158,-45.68471145629883,-60.38075637817383,-57.48685836791992,-41.92201232910156,32.509159088134766,151.47796630859375,169.25877380371094,167.04498291015625,163.11085510253906,156.9038848876953,181.74668884277344
36,61,50,37,27,27,26,32,-43.94227981567383,-34.94700241088867,-9.048648834228516,14.830793380737305,36.28120422363281,7.561149597167969,1.1941945552825928,-45.471561431884766,-60.1786994934082,-57.254058837890625,-41.59342956542969,32.73475646972656,151.89971923828125,169.68959045410156,167.50279235839844,163.6354522705078,157.5831756591797,182.47523498535156
36,62,65,43,31,26,23,30,-44.2287712097168,-35.13115692138672,-9.203985214233398,14.670007705688477,36.12173080444336,7.285719394683838,1.5531045198440552,-45.2707633972168,-59.99360656738281,-57.037322998046875,-41.30156326293945,32.91826248168945,152.2982177734375,170.10240173339844,167.92872619628906,164.13038635253906,158.18621826171875,182.96566772460938
33,59,70,47,31,26,23,29,-44.316993713378906,-35.18940353393555,-9.25316333770752,14.619671821594238,36.073509216308594,7.277808666229248,1.6631871461868286,-45.20840835571289,-59.93634796142578,-56.97074890136719,-41.21479415893555,32.928749084472656,152.4209747314453,170.2310028076172,168.0611572265625,164.2835693359375,158.36618041992188,182.95921325683594
33,62,71,49,30,25,26,26,-44.54138946533203,-35.348785400390625,-9.390094757080078,14.47900390625,35.941776275634766,7.140085697174072,1.9446700811386108,-45.038753509521484,-59.77839660644531,-56.78732681274414,-40.98074722290039,33.10826873779297,152.73362731933594,170.57606506347656,168.42323303222656,164.70266723632812,158.85015869140625,183.21456909179688
34,64,70,50,28,26,27,25,-44.680606842041016,-35.46928787231445,-9.500730514526367,14.366435050964355,35.83570098876953,6.989602088928223,2.1224722862243652,-44.9082145690918,-59.648704528808594,-56.638851165771484,-40.791099548339844,33.46881866455078,152.92784118652344,170.8308563232422,168.70989990234375,165.0286407470703,159.2335662841797,183.55552673339844
33,57,71,49,30,26,25,24,-44.72966003417969,-35.52566909790039,-9.55509090423584,14.3113374710083,35.7805061340332,6.974553108215332,2.1863014698028564,-44.84608840942383,-59.5837287902832,-56.565269470214844,-40.69204330444336,33.561370849609375,152.99652099609375,170.94851684570312,168.84909057617188,165.18545532226562,159.4313201904297,183.56613159179688
34,60,64,43,27,28,26,23,-44.75981521606445,-35.57054138183594,-9.60139274597168,14.264493942260742,35.73102569580078,6.945591926574707,2.2257485389709473,-44.79643249511719,-59.528480529785156,-56.50322341918945,-40.604427337646484,33.648956298828125,153.03875732421875,171.04159545898438,168.9669189453125,165.31715393066406,159.60655212402344,183.59722900390625
34,66,60,43,28,27,28,24,-44.780765533447266,-35.60540008544922,-9.640692710876465,14.226094245910645,35.687721252441406,6.865860462188721,2.253376007080078,-44.7574577331543,-59.48141098022461,-56.45213317871094,-40.52805709838867,33.79351043701172,153.06817626953125,171.11288452148438,169.06507873535156,165.42282104492188,159.75709533691406,183.76490783691406
33,66,60,42,27,28,24,23,-44.803550720214844,-35.64463806152344,-9.690520286560059,14.177359580993652,35.629730224609375,6.802201747894287,2.2834842205047607,-44.713417053222656,-59.42203140258789,-56.38799285888672,-40.42794418334961,33.90342330932617,153.10009765625,171.19216918945312,169.18753051757812,165.5546112060547,159.954345703125,183.78890991210938
33,67,57,38,29,26,24,23,-44.81679153442383,-35.661197662353516,-9.712055206298828,14.149808883666992,35.577754974365234,6.890100479125977,2.3030481338500977,-44.68971252441406,-59.38862609863281,-56.347801208496094,-40.34917449951172,35.40450668334961,153.12049865722656,171.2291259765625,169.2443389892578,165.62596130371094,160.0946044921875,184.4005126953125
34,66,59,41,27,29,24,23,-44.83427047729492,-35.670711517333984,-9.723252296447754,14.128421783447266,35.525169372558594,6.755115032196045,2.330547571182251,-44.672794342041016,-59.36766815185547,-56.31361389160156,-40.2645378112793,36.1718864440918,153.14988708496094,171.25296020507812,169.2740936279297,165.67860412597656,160.23219299316406,184.7150115966797
33,60,56,43,26,28,24,24,-44.879695892333984,-35.68052673339844,-9.731348037719727,14.105602264404297,35.44722366333008,6.582152366638184,2.4027512073516846,-44.65361022949219,-59.351890563964844,-56.2769660949707,-40.14093017578125,36.65058898925781,153.2308807373047,171.27975463867188,169.29493713378906,165.73226928710938,160.42869567871094,184.85789489746094
34,60,57,38,25,28,22,24,-44.92573165893555,-35.685604095458984,-9.734574317932129,14.09195613861084,35.392574310302734,6.485133171081543,2.4758005142211914,-44.643226623535156,-59.34571075439453,-56.25566864013672,-40.05861282348633,36.81309127807617,153.31643676757812,171.29405212402344,169.3029022216797,165.7633514404297,160.55886840820312,184.92153930664062
38,55,53,37,25,28,22,23,-45.018333435058594,-35.69084167480469,-9.739480972290039,14.066402435302734,35.299625396728516,6.261976718902588,2.6197712421417236,-44.63255310058594,-59.336666107177734,-56.21706771850586,-39.92616271972656,36.989402770996094,153.49334716796875,171.3085479736328,169.31454467773438,165.82052612304688,160.76878356933594,185.07818603515625
39,56,61,37,24,28,20,22,-45.09811782836914,-35.695892333984375,-9.745576858520508,14.042025566101074,35.22431182861328,6.044407844543457,2.7396974563598633,-44.62261962890625,-59.325801849365234,-56.181480407714844,-39.823387145996094,37.144405364990234,153.64756774902344,171.32241821289062,169.3290557861328,165.874267578125,160.93519592285156,185.25650024414062
38,61,61,40,27,29,23,21,-45.19643020629883,-35.70569610595703,-9.757493019104004,14.010300636291504,35.137020111083984,5.765864849090576,2.883667230606079,-44.60409164428711,-59.30514907836914,-56.136539459228516,-39.70732116699219,37.35893630981445,153.83944702148438,171.349365234375,169.3579864501953,165.94219970703125,161.12503051757812,185.72616577148438
37,66,58,39,29,28,27,22,-45.31367492675781,-35.72269821166992,-9.778602600097656,13.970726013183594,35.04204177856445,5.52308464050293,3.05299711227417,-44.573204040527344,-59.26966857910156,-56.08158493041992,-39.582420349121094,37.564002990722656,154.07058715820312,171.39572143554688,169.40994262695312,166.02606201171875,161.32925415039062,186.21263122558594
35,62,59,42,30,28,30,24,-45.513893127441406,-35.76420593261719,-9.83178997039795,13.898113250732422,34.88877487182617,5.326523303985596,3.3366448879241943,-44.50074768066406,-59.183319091796875,-55.98344039916992,-39.385311126708984,37.72028350830078,154.46722412109375,171.50770568847656,169.54238891601562,166.17759704589844,161.65576171875,186.59164428710938
31,63,59,40,30,31,29,27,-45.58601760864258,-35.78183364868164,-9.85495662689209,13.870027542114258,34.83595275878906,5.243936061859131,3.4385437965393066,-44.470455169677734,-59.146114349365234,-55.94583511352539,-39.31757354736328,37.81172180175781,154.61317443847656,171.55490112304688,169.6004638671875,166.23683166503906,161.76866149902344,186.99252319335938
23,57,51,40,33,32,32,29,-45.81435775756836,-35.845401763916016,-9.937759399414062,13.773999214172363,34.679683685302734,5.183023452758789,3.76493763923645,-44.361961364746094,-59.01328659057617,-55.817474365234375,-39.11334991455078,38.00081253051758,155.09194946289062,171.72886657714844,169.8131561279297,166.4437255859375,162.113037109375,187.8150634765625
24,53,53,36,34,28,30,31,-46.04479217529297,-35.923336029052734,-10.036335945129395,13.66075325012207,34.52138137817383,5.303939342498779,4.10112190246582,-44.22720718383789,-58.85165786743164,-55.66473388671875,-38.905269622802734,38.056602478027344,155.60304260253906,171.95758056640625,170.08920288085938,166.70318603515625,162.47222900390625,188.1546173095703
29,47,63,37,34,26,28,31,-46.12026596069336,-35.95174789428711,-10.07150936126709,13.620527267456055,34.468536376953125,5.375700950622559,4.21306848526001,-44.17694091796875,-58.7924690246582,-55.60947799682617,-38.83487319946289,38.0675163269043,155.77745056152344,172.04669189453125,170.19403076171875,166.79991149902344,162.5960693359375,188.27163696289062
30,44,59,37,34,28,25,31,-46.334014892578125,-36.03910827636719,-10.17602252960205,13.496088027954102,34.31413269042969,5.594174861907959,4.539762020111084,-44.01409912109375,-58.606109619140625,-55.43033981323242,-38.61881637573242,38.1085319519043,156.30076599121094,172.34750366210938,170.53076171875,167.12994384765625,162.98634338378906,188.69577026367188
30,46,64,38,35,24,27,31,-46.52574920654297,-36.12461853027344,-10.273359298706055,13.37362289428711,34.165931701660156,5.913429260253906,4.845034599304199,-43.84065246582031,-58.414737701416016,-55.239742279052734,-38.395633697509766,38.167659759521484,156.8036346435547,172.684326171875,170.8872833251953,167.49513244628906,163.40415954589844,188.953857421875
32,56,71,45,34,24,25,31,-46.58366775512695,-36.15118408203125,-10.302613258361816,13.334842681884766,34.12004852294922,6.037332534790039,4.94273042678833,-43.78032302856445,-58.3497314453125,-55.17267990112305,-38.320289611816406,38.229129791259766,156.96629333496094,172.80430603027344,171.00836181640625,167.62705993652344,163.54505920410156,189.10098266601562
33,54,68,46,30,26,26,30,-46.74127197265625,-36.222450256347656,-10.378255844116211,13.227855682373047,33.997833251953125,6.46049690246582,5.225500583648682,-43.594295501708984,-58.1549072265625,-54.9628791809082,-38.09518051147461,38.380496978759766,157.43832397460938,173.17800903320312,171.36851501464844,168.04151916503906,163.9642333984375,189.36993408203125
28,56,60,45,29,29,27,28,-46.8748664855957,-36.276405334472656,-10.435152053833008,13.140937805175781,33.90044403076172,6.940459251403809,5.492252826690674,-43.404640197753906,-57.96031188964844,-54.75185012817383,-37.88025665283203,38.505123138427734,157.8826904296875,173.5527801513672,171.72134399414062,168.44677734375,164.34898376464844,189.40679931640625
29,66,64,48,30,26,28,28,-46.913578033447266,-36.28954315185547,-10.449485778808594,13.117605209350586,33.873939514160156,7.189730167388916,5.578089237213135,-43.34075927734375,-57.895172119140625,-54.68235397338867,-37.80961227416992,38.55192184448242,158.0253448486328,173.6777801513672,171.8376922607422,168.57737731933594,164.47286987304688,189.3429718017578
30,73,64,52,30,29,27,25,-47.01009750366211,-36.31083679199219,-10.4746732711792,13.066959381103516,33.811649322509766,7.651372909545898,5.826982021331787,-43.14486312866211,-57.695640563964844,-54.47468185424805,-37.5936279296875,38.612335205078125,158.43911743164062,174.0528564453125,172.18643188476562,168.95172119140625,164.8379669189453,189.2752227783203
30,65,58,46,30,29,26,25,-47.09008026123047,-36.31640625,-10.483560562133789,13.031936645507812,33.765098571777344,8.316100120544434,6.068360328674316,-42.949520111083984,-57.49452590942383,-54.266624450683594,-37.37437057495117,38.702720642089844,158.83755493164062,174.42178344726562,172.5305938720703,169.3102569580078,165.19839477539062,189.2354736328125
32,68,55,48,29,29,27,25,-47.12928771972656,-36.303184509277344,-10.4722900390625,13.023512840270996,33.7484130859375,8.762115478515625,6.231699466705322,-42.81270980834961,-57.35057067871094,-54.118377685546875,-37.21821594238281,38.74008560180664,159.10406494140625,174.6732635498047,172.76646423339844,169.5485076904297,165.4423065185547,189.1448516845703
35,69,62,51,29,27,25,28,-47.15789031982422,-36.27748489379883,-10.44782829284668,13.026981353759766,33.74237060546875,9.127673149108887,6.394217491149902,-42.67319869995117,-57.20009231567383,-53.96388244628906,-37.05350112915039,38.75761032104492,159.37001037597656,174.92849731445312,173.00677490234375,169.78965759277344,165.68734741210938,189.1067352294922
32,69,63,51,29,30,26,29,-47.1749267578125,-36.23933410644531,-10.409134864807129,13.042595863342285,33.74769592285156,9.546880722045898,6.553371906280518,-42.533599853515625,-57.047767639160156,-53.80544662475586,-36.8843994140625,38.749717712402344,159.6320343017578,175.18264770507812,173.25001525878906,170.030029296875,165.9335479736328,189.0428924560547
35,67,65,48,29,30,24,29,-47.1741828918457,-36.16184997558594,-10.329444885253906,13.089741706848145,33.77714157104492,10.129846572875977,6.781020641326904,-42.330875396728516,-56.82260513305664,-53.56499099731445,-36.6290283203125,38.70766067504883,160.0132293701172,175.5524139404297,173.6034698486328,170.3827362060547,166.29647827148438,188.93963623046875
36,70,70,48,28,28,24,29,-47.15580749511719,-36.10164260864258,-10.265856742858887,13.134017944335938,33.809234619140625,10.460424423217773,6.922418117523193,-42.20429992675781,-56.68152618408203,-53.40934371948242,-36.46232223510742,38.657752990722656,160.25570678710938,175.7833251953125,173.8249053955078,170.6095733642578,166.53001403808594,188.8535614013672
35,83,70,46,29,27,23,30,-47.12510299682617,-36.038509368896484,-10.197922706604004,13.184344291687012,33.84886169433594,10.697901725769043,7.052789211273193,-42.089107513427734,-56.553955078125,-53.26203155517578,-36.303627014160156,38.605865478515625,160.48487854003906,175.99676513671875,174.02967834472656,170.8228759765625,166.7530975341797,188.8022003173828
34,84,63,46,28,27,23,29,-47.06381607055664,-35.94628143310547,-10.099569320678711,13.265668869018555,33.91422653198242,11.014097213745117,7.222268581390381,-41.9415283203125,-56.3997802734375,-53.061119079589844,-36.08760070800781,38.52256393432617,160.793212890625,176.27455139160156,174.29251098632812,171.11154174804688,167.0572967529297,188.72039794921875
37,83,60,40,25,25,20,30,-47.01911163330078,-35.890438079833984,-10.04385757446289,13.320293426513672,33.958621978759766,11.205839157104492,7.31529426574707,-41.86307907104492,-56.32593536376953,-52.94495391845703,-35.961936950683594,38.4491081237793,160.96995544433594,176.4285430908203,174.42958068847656,171.2802734375,167.23458862304688,188.64614868164062
